fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol
7.4,0.7,0,1.9,0.076,11,34,0.9978,3.51,0.56,9.4
7.8,0.88,0,2.6,0.098,25,67,0.9968,3.2,0.68,9.8
11.2,0.28,0.56,1.9,0.075,17,60,0.998,3.16,0.58,9.8
7.9,0.32,0.51,1.8,0.341,17,56,0.9969,3.04,1.08,9.2
8.3,0.625,0.2,1.5,0.08,27,119,0.9972,3.16,1.12,9.1
5,1.02,0.04,1.4,0.045,41,85,0.9938,3.75,0.48,10.5
5.4,0.835,0.08,1.2,0.046,13,93,0.9924,3.57,0.85,13
9.6,0.32,0.47,1.4,0.056,9,24,0.99695,3.22,0.82,10.3
5.6,0.85,0.05,1.4,0.045,12,88,0.9924,3.56,0.82,12.9
12.6,0.31,0.72,2.2,0.072,6,29,0.9987,2.88,0.82,9.8
11.6,0.58,0.66,2.2,0.074,10,47,1.0008,3.25,0.57,9
10.4,0.61,0.49,2.1,0.2,5,16,0.9994,3.16,0.63,8.4
10.7,0.35,0.53,2.6,0.07,5,16,0.9972,3.15,0.65,11
7.8,0.52,0.25,1.9,0.081,14,38,0.9984,3.43,0.65,9
13.3,0.29,0.75,2.8,0.084,23,43,0.9986,3.04,0.68,11.4
12.4,0.42,0.49,4.6,0.073,19,43,0.9978,3.02,0.61,9.5
9.9,0.5,0.24,2.3,0.103,6,14,0.9978,3.34,0.52,10
7.6,1.58,0,2.1,0.137,5,9,0.99476,3.5,0.4,10.9
8,0.83,0.27,2,0.08,11,63,0.99652,3.29,0.48,9.8
7.2,0.37,0.32,2,0.062,15,28,0.9947,3.23,0.73,11.3
